cores,ols,instances,Throughput (inf/sec),Avg Latency (us),Avg Power (Inf/watt)
1,1,1,402.39,2485.18,22.0
1,1,2,673.84,2968.08,22.0
1,1,3,958.97,3128.37,22.0
1,1,4,1306.81,3060.88,22.0
1,1,5,1751.8,2854.2,22.0
1,1,6,1760.5,3408.12,22.0
1,1,7,1781.1,3930.15,22.0
1,1,8,1698.23,4710.8,22.0
1,1,9,2185.27,4118.49,22.0
1,1,10,1375.88,7268.1,22.0
1,1,11,2288.85,4805.9,22.0
1,1,12,2179.31,5506.32,22.0
1,1,13,1731.36,7508.54,22.0
1,1,14,1880.83,7443.52,22.0
1,2,1,405.8,2464.24,22.0
1,2,2,684.76,2920.74,22.0
1,2,3,945.19,3173.97,22.0
1,2,4,1254.0,3189.8,22.0
1,2,5,1713.27,2918.4,22.0
1,2,6,1839.82,3261.18,22.0
1,2,7,1987.36,3522.26,22.0
1,2,8,1765.23,4532.0,22.0
1,2,9,2512.31,3582.36,22.0
1,2,10,2722.13,3673.6,22.0
1,2,11,2357.77,4665.43,22.0
1,2,12,2363.06,5078.16,22.0
1,2,13,1936.52,6713.07,22.0
1,2,14,1893.58,7393.4,22.0
1,3,1,388.4,2574.65,22.0
1,3,2,662.01,3021.12,22.0
1,3,3,951.77,3152.01,22.0
1,3,4,1242.19,3220.12,22.0
1,3,5,1634.76,3058.55,22.0
1,3,6,1659.42,3615.72,22.0
1,3,7,1715.0,4081.63,22.0
1,3,8,1993.46,4013.12,22.0
1,3,9,2142.15,4201.38,22.0
1,3,10,2410.45,4148.6,22.0
1,3,11,2233.44,4925.14,22.0
1,3,12,2168.73,5533.2,22.0
1,3,13,1864.7,6971.64,22.0
1,3,14,1950.76,7176.68,22.0
1,4,1,404.25,2473.7,22.0
1,4,2,674.51,2965.12,22.0
1,4,3,922.25,3252.93,22.0
1,4,4,1226.2,3262.12,22.0
1,4,5,1630.12,3067.25,22.0
1,4,6,1734.52,3459.18,22.0
1,4,7,1803.1,3882.2,22.0
1,4,8,1841.65,4343.92,22.0
1,4,9,2047.25,4396.14,22.0
1,4,10,2051.53,4874.4,22.0
1,4,11,2047.96,5371.19,22.0
1,4,12,2089.34,5743.44,22.0
1,4,13,1796.11,7237.88,22.0
1,4,14,1824.02,7675.36,22.0
2,1,1,614.39,1627.64,22.0
2,1,2,1002.65,1994.72,22.0
2,1,3,1332.09,2252.1,22.0
2,1,4,1709.78,2339.48,22.0
2,1,5,2153.73,2321.55,22.0
2,1,6,2438.49,2460.54,22.0
2,1,7,2526.27,2770.88,22.0
2,2,1,608.13,1644.38,22.0
2,2,2,1012.91,1974.5,22.0
2,2,3,1359.73,2206.32,22.0
2,2,4,1758.24,2275.0,22.0
2,2,5,2268.09,2204.5,22.0
2,2,6,2073.01,2894.34,22.0
2,2,7,2042.36,3427.41,22.0
2,3,1,549.63,1819.39,22.0
2,3,2,892.24,2241.56,22.0
2,3,3,1202.02,2495.79,22.0
2,3,4,1550.51,2579.8,22.0
2,3,5,2136.84,2339.9,22.0
2,3,6,2090.04,2870.76,22.0
2,3,7,2259.38,3098.2,22.0
2,4,1,556.07,1798.35,22.0
2,4,2,928.57,2153.86,22.0
2,4,3,1245.49,2408.7,22.0
2,4,4,1622.96,2464.64,22.0
2,4,5,2454.11,2037.4,22.0
2,4,6,1962.48,3057.36,22.0
2,4,7,2001.12,3498.04,22.0
3,1,1,699.73,1429.12,22.0
3,1,2,1142.84,1750.02,22.0
3,1,3,1487.01,2017.47,22.0
3,1,4,1932.89,2069.44,22.0
3,2,1,695.79,1437.21,22.0
3,2,2,1159.51,1724.86,22.0
3,2,3,1498.69,2001.75,22.0
3,2,4,2012.27,1987.8,22.0
3,3,1,636.83,1570.28,22.0
3,3,2,1012.34,1975.62,22.0
3,3,3,1357.4,2210.1,22.0
3,3,4,1826.82,2189.6,22.0
3,4,1,600.06,1666.5,22.0
3,4,2,980.72,2039.32,22.0
3,4,3,1369.62,2190.39,22.0
3,4,4,1831.8,2183.64,22.0
4,1,1,780.55,1281.14,22.0
4,1,2,1362.88,1467.48,22.0
4,1,3,1683.67,1781.82,22.0
4,2,1,771.53,1296.12,22.0
4,2,2,1247.93,1602.66,22.0
4,2,3,1581.83,1896.54,22.0
4,3,1,700.06,1428.44,22.0
4,3,2,1140.52,1753.58,22.0
4,3,3,1597.52,1877.91,22.0
4,4,1,665.81,1501.93,22.0
4,4,2,1081.28,1849.66,22.0
4,4,3,1438.0,2086.23,22.0
5,1,1,807.43,1238.49,22.0
5,1,2,1313.39,1522.78,22.0
5,2,1,798.79,1251.9,22.0
5,2,2,1276.24,1567.1,22.0
5,3,1,685.18,1459.46,22.0
5,3,2,1093.46,1829.06,22.0
5,4,1,685.62,1458.54,22.0
5,4,2,1080.05,1851.76,22.0
6,1,1,848.46,1178.6,22.0
6,1,2,1476.63,1354.44,22.0
6,2,1,802.3,1246.42,22.0
6,2,2,1287.86,1552.96,22.0
6,3,1,669.16,1494.41,22.0
6,3,2,1088.26,1837.8,22.0
6,4,1,659.97,1515.22,22.0
6,4,2,1094.51,1827.3,22.0
7,1,1,895.62,1116.54,22.0
7,1,2,1444.82,1384.26,22.0
7,2,1,812.98,1230.05,22.0
7,2,2,1301.68,1536.48,22.0
7,3,1,697.07,1434.58,22.0
7,3,2,1157.45,1727.94,22.0
7,4,1,666.12,1501.22,22.0
7,4,2,1070.22,1868.78,22.0
