cores,ols,instances,Throughput (inf/sec),Avg Latency (us),Avg Power (Inf/watt)
1,1,1,22.88,43706.0,22.78
1,1,2,43.55,45923.62,22.8
1,1,3,62.56,47957.34,22.75
1,1,4,78.37,51042.6,24.0
1,1,5,92.74,53915.85,25.0
1,1,6,98.64,60826.8,24.67
1,1,7,110.59,63296.45,24.5
1,1,8,122.83,65128.72,26.5
1,1,9,129.75,69363.81,27.5
1,1,10,132.6,75415.2,26.5
1,1,11,134.62,81710.86,25.0
1,1,12,131.26,91422.96,29.5
1,1,13,105.56,123157.19,27.0
1,1,14,134.6,104008.66,29.0
1,2,1,22.62,44209.25,22.67
1,2,2,42.86,46662.04,22.8
1,2,3,61.71,48618.27,23.5
1,2,4,76.6,52216.92,24.67
1,2,5,89.7,55742.2,25.33
1,2,6,95.94,62541.24,27.33
1,2,7,108.71,64390.76,27.5
1,2,8,118.37,67583.28,24.0
1,2,9,121.77,73912.5,25.5
1,2,10,124.33,80431.7,27.5
1,2,11,126.98,86626.87,26.0
1,2,12,124.37,96484.32,26.5
1,2,13,100.36,129536.29,25.5
1,2,14,127.79,109553.92,30.5
1,3,1,24.71,40465.35,22.67
1,3,2,47.22,42358.52,22.8
1,3,3,67.69,44320.86,23.33
1,3,4,84.23,47488.24,25.33
1,3,5,98.56,50731.65,25.67
1,3,6,105.51,56868.9,24.0
1,3,7,117.3,59675.7,27.0
1,3,8,128.04,62481.52,24.5
1,3,9,128.75,69903.09,27.5
1,3,10,133.3,75016.9,30.0
1,3,11,136.15,80794.12,24.0
1,3,12,134.55,89186.64,30.0
1,3,13,109.73,118477.32,29.0
1,3,14,137.8,101596.6,25.0
1,4,1,23.77,42078.51,22.78
1,4,2,45.84,43628.06,22.8
1,4,3,65.72,45650.64,23.5
1,4,4,80.8,49505.4,25.0
1,4,5,95.0,52630.9,26.33
1,4,6,102.26,58671.54,27.0
1,4,7,113.12,61879.09,26.5
1,4,8,121.44,65873.92,24.5
1,4,9,123.33,72974.52,27.0
1,4,10,127.71,78301.0,29.5
1,4,11,129.76,84771.83,30.5
1,4,12,128.23,93584.4,30.0
1,4,13,104.73,124128.29,29.0
1,4,14,127.42,109873.54,24.0
2,1,1,38.44,26015.1,22.83
2,1,2,70.87,28218.92,23.33
2,1,3,96.97,30937.83,25.67
2,1,4,120.37,33232.04,28.0
2,1,5,139.83,35756.7,29.0
2,1,6,142.05,42239.58,28.0
2,1,7,154.52,45300.64,24.5
2,2,1,45.61,21923.94,22.8
2,2,2,83.2,24039.9,23.67
2,2,3,114.25,26259.09,24.5
2,2,4,134.46,29748.6,27.0
2,2,5,152.68,32748.35,26.0
2,2,6,156.11,38434.56,31.5
2,2,7,162.92,42965.51,28.5
2,3,1,49.56,20177.4,22.8
2,3,2,91.05,21965.42,24.67
2,3,3,124.1,24173.61,27.5
2,3,4,145.55,27481.64,31.5
2,3,5,161.35,30989.0,30.0
2,3,6,166.79,35972.82,28.0
2,3,7,169.49,41301.4,24.5
2,4,1,46.4,21552.6,22.8
2,4,2,87.15,22948.52,23.67
2,4,3,118.76,25261.95,24.0
2,4,4,140.33,28503.24,26.0
2,4,5,162.42,30784.8,25.0
2,4,6,165.9,36165.6,30.5
2,4,7,172.3,40626.25,27.0
3,1,1,64.71,15454.24,23.25
3,1,2,113.43,17631.88,22.5
3,1,3,154.99,19356.24,26.5
3,1,4,185.62,21549.28,25.5
3,2,1,70.78,14128.14,23.0
3,2,2,123.93,16138.22,24.5
3,2,3,172.47,17394.75,28.5
3,2,4,199.78,20022.36,22.0
3,3,1,64.28,15555.76,23.25
3,3,2,119.62,16719.34,24.0
3,3,3,159.47,18811.92,28.0
3,3,4,181.62,22024.0,27.5
3,4,1,66.31,15079.56,23.25
3,4,2,124.64,16046.58,23.5
3,4,3,169.05,17745.93,26.5
3,4,4,208.08,19223.24,22.0
4,1,1,79.97,12504.45,23.33
4,1,2,139.26,14362.06,24.5
4,1,3,187.6,15991.68,28.5
4,2,1,90.98,10991.76,24.0
4,2,2,163.02,12268.6,23.5
4,2,3,216.11,13881.99,23.0
4,3,1,99.0,10100.75,25.0
4,3,2,186.13,10744.94,28.5
4,3,3,244.96,12246.78,22.0
4,4,1,97.72,10233.4,24.67
4,4,2,185.54,10779.5,22.5
4,4,3,257.79,11637.24,22.0
5,1,1,114.13,8761.76,24.5
5,1,2,207.68,9630.2,28.0
5,2,1,115.47,8660.52,24.5
5,2,2,209.01,9568.78,28.0
5,3,1,113.55,8807.04,25.0
5,3,2,212.59,9407.72,27.0
5,4,1,119.95,8337.03,25.5
5,4,2,231.66,8633.22,28.0
6,1,1,127.7,7830.69,24.0
6,1,2,236.9,8442.5,22.0
6,2,1,133.06,7515.5,25.5
6,2,2,251.25,7960.06,27.0
6,3,1,131.07,7629.51,26.0
6,3,2,250.4,7987.18,28.0
6,4,1,127.23,7859.87,26.0
6,4,2,242.64,8242.7,29.0
7,1,1,146.96,6804.74,24.0
7,1,2,271.05,7378.58,22.0
7,2,1,158.71,6300.75,23.0
7,2,2,298.09,6709.44,24.0
7,3,1,143.7,6958.99,22.5
7,3,2,269.39,7424.28,26.0
7,4,1,132.24,7561.89,25.0
7,4,2,249.85,8004.9,22.0
