MODEL_NAME,TASK,BATCH_SIZE,SEQUENCE_LENGTH,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY
albert-base-v2,question-answering,8,128,2,7,4,1, ,2,fp16,best-throughput,2187.3,52.26
albert-base-v2,default,6,128,2,7,4,1, ,4,fp16,best-throughput,2177.7,78.48
allenai/scibert_scivocab_uncased,question-answering,6,128,2,7,,1, -multicast-weights,2,fp16,best-throughput,2402.6,35.22
allenai/scibert_scivocab_uncased,default,10,128,2,7,2,1, -multicast-weights,2,fp16,best-throughput,2390,59.07
avichr/heBERT_sentiment_analysis,text-classification,5,128,1,14,1,, -multicast-weights,4,fp16,best-throughput,2252.7,125.96
beomi/kcbert-base,question-answering,5,128,1,14,2,1, ,3,fp16,best-throughput,2227.3,95.14
beomi/kcbert-base,fill-mask,3,128,4,3,2,1, ,2,fp16,best-throughput,724.1,26.04
bert-base-cased,question-answering,8,128,2,7,4,1, -multicast-weights,1,fp16,best-throughput,2370,24.03
bert-base-cased,fill-mask,6,128,7,2,2,1, ,2,fp16,best-throughput,748.6,33.79
bert-base-chinese,question-answering,8,128,2,7,1,1, ,4,fp16,best-throughput,2480.9,90.69
bert-base-chinese,fill-mask,10,128,4,3,1,1, ,3,fp16,best-throughput,994.5,93.25
bert-base-german-cased,question-answering,8,128,2,7,1,1, -multicast-weights,2,fp16,best-throughput,2151.2,53.04
bert-base-german-cased,fill-mask,9,128,6,2,1,1, -multicast-weights,2,fp16,best-throughput,710.7,53.89
bert-base-multilingual-cased,question-answering,8,128,2,7,4,1, ,4,fp16,best-throughput,2476.8,91.64
bert-base-multilingual-cased,fill-mask,6,128,7,2,2,7, ,2,fp16,best-throughput,169.9,174.32
bert-base-multilingual-uncased,question-answering,5,128,1,14,1,1, ,3,fp16,best-throughput,2467.2,86.93
bert-base-multilingual-uncased,fill-mask,8,128,7,2,1,7, -multicast-weights,2,fp16,best-throughput,198.4,182.97
bert-base-uncased,question-answering,10,128,2,7,1,1, -multicast-weights,1,fp16,best-throughput,2367.5,29.96
bert-base-uncased,fill-mask,8,128,6,2,1,6, -multicast-weights,2,fp16,best-throughput,706.7,46.69
bert-large-uncased,question-answering,6,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,701.3,186.27
bert-large-uncased,fill-mask,4,128,2,7,1,1, ,2,fp16,best-throughput,530,119.51
bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,6,128,2,7,,1, -multicast-weights,4,fp16,best-throughput,696.7,243.59
bert-large-uncased-whole-word-masking-finetuned-squad,default,4,128,2,7,2,1, -multicast-weights,2,fp16,best-throughput,663.9,86.43
bhadresh-savani/distilbert-base-uncased-emotion,text-classification,5,128,1,14,2,1, ,1,fp16,best-throughput,4715.4,15.31
camembert-base,question-answering,5,128,1,14,4,1, -multicast-weights,2,fp16,best-throughput,2230.4,63.51
camembert-base,fill-mask,9,128,6,2,1,1, ,2,fp16,best-throughput,671,56.43
cardiffnlp/twitter-roberta-base-sentiment,text-classification,10,128,2,7,2,1, ,2,fp16,best-throughput,2463.1,57.48
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,8,128,2,7,1,1, ,3,fp16,best-throughput,2411.2,70.52
ckiplab/albert-tiny-chinese,question-answering,8,128,1,14,4,1, -multicast-weights,4,fp16,best-throughput,17620.5,25.99
ckiplab/albert-tiny-chinese,fill-mask,1,128,12,1,2,1, ,4,fp16,best-throughput,1164.8,3.6
classla/bcms-bertic-ner,token-classification,4,128,1,14,,, ,3,fp16,best-throughput,2283.6,75.04
cl-tohoku/bert-base-japanese,question-answering,10,128,2,7,2,1, -multicast-weights,4,fp16,best-throughput,2288.5,123.76
cl-tohoku/bert-base-japanese,fill-mask,6,128,6,2,1,2, -multicast-weights,2,fp16,best-throughput,674.2,37.62
cl-tohoku/bert-base-japanese-char,question-answering,10,128,2,7,,1, -multicast-weights,4,fp16,best-throughput,2496.8,113.1
cl-tohoku/bert-base-japanese-char,fill-mask,5,128,1,14,2,, ,3,fp16,best-throughput,2221.8,97.2
cl-tohoku/bert-base-japanese-whole-word-masking,question-answering,5,128,1,14,2,1, -multicast-weights,4,fp16,best-throughput,2421,117.57
cl-tohoku/bert-base-japanese-whole-word-masking,fill-mask,2,128,6,2,1,6, ,3,fp16,best-throughput,689.4,17.52
cross-encoder/ms-marco-MiniLM-L-12-v2,text-classification,5,128,1,14,4,1, ,4,fp16,best-throughput,5370.4,53.22
dbmdz/bert-base-italian-xxl-cased,question-answering,8,128,2,7,1,1, -multicast-weights,2,fp16,best-throughput,2430,46.81
dbmdz/bert-base-italian-xxl-cased,fill-mask,10,128,6,2,4,1, -multicast-weights,2,fp16,best-throughput,672.4,62.76
dbmdz/electra-base-german-europeana-cased-discriminator,question-answering,5,128,1,14,1,1, -multicast-weights,3,fp16,best-throughput,2472.3,86.16
dbmdz/electra-base-german-europeana-cased-discriminator,default,10,128,2,7,2,1, ,3,fp16,best-throughput,2325.1,91.61
DeepPavlov/rubert-base-cased-conversational,question-answering,5,128,1,14,4,2, -multicast-weights,1,fp16,best-throughput,2264.1,31.53
DeepPavlov/rubert-base-cased-conversational,feature-extraction,4,128,1,14,4,, ,4,fp16,best-throughput,2184.8,105.12
DeepPavlov/rubert-base-cased-sentence,question-answering,5,128,1,14,,1, ,4,fp16,best-throughput,2455.2,115.83
DeepPavlov/rubert-base-cased-sentence,feature-extraction,5,128,1,14,2,1, ,4,fp16,best-throughput,2070,157.71
deepset/roberta-base-squad2,question-answering,5,128,1,14,1,2, ,1,fp16,best-throughput,2307.8,30.7
deepset/xlm-roberta-large-squad2,question-answering,8,128,4,3,1,1, ,2,fp16,best-throughput,669.9,73.04
distilbert-base-cased,question-answering,5,128,1,14,1,1, ,4,fp16,best-throughput,4878.2,50.02
distilbert-base-cased,default,5,128,1,14,1,1, ,4,fp16,best-throughput,4904.1,57.74
distilbert-base-cased-distilled-squad,question-answering,5,128,1,14,2,1, ,3,fp16,best-throughput,4924.2,43.46
distilbert-base-german-cased,question-answering,10,128,2,7,1,1, -multicast-weights,3,fp16,best-throughput,4638.4,45.8
distilbert-base-german-cased,fill-mask,2,128,7,2,1,1, -multicast-weights,3,fp16,best-throughput,708.5,17.97
distilbert-base-multilingual-cased,question-answering,5,128,1,14,,, -multicast-weights,4,fp16,best-throughput,4394.7,64.77
distilbert-base-multilingual-cased,fill-mask,1,128,4,3,4,1, -multicast-weights,2,fp16,best-throughput,179,38.39
distilbert-base-uncased,question-answering,5,128,1,14,,2, ,3,fp16,best-throughput,4917.7,43.16
distilbert-base-uncased-distilled-squad,question-answering,5,128,1,14,4,1, ,4,fp16,best-throughput,4741,61.6
distilbert-base-uncased-finetuned-sst-2-english,text-classification,8,128,2,7,2,1, ,4,fp16,best-throughput,4965.8,46.06
distilbert-base-uncased-finetuned-sst-2-english,question-answering,10,128,2,7,1,1, -multicast-weights,3,fp16,best-throughput,4755.2,44.46
distilroberta-base,question-answering,5,128,1,14,,2, -multicast-weights,4,fp16,best-throughput,4532.7,62.7
distilroberta-base,fill-mask,1,128,12,1,1,12, -multicast-weights,3,fp16,best-throughput,453.5,6.89
dslim/bert-base-NER,token-classification,10,128,2,7,,1, -multicast-weights,3,fp16,best-throughput,2379.6,89.17
dslim/bert-base-NER-uncased,token-classification,10,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,2525.3,83.58
emilyalsentzer/Bio_ClinicalBERT,question-answering,5,128,1,14,1,1, -multicast-weights,2,fp16,best-throughput,2416.4,58.84
emilyalsentzer/Bio_ClinicalBERT,fill-mask,11,128,6,2,1,1, -multicast-weights,2,fp16,best-throughput,748,62.97
finiteautomata/beto-sentiment-analysis,text-classification,5,128,1,14,1,, -multicast-weights,4,fp16,best-throughput,2490,115.15
google/bert_uncased_L-2_H-128_A-2,question-answering,10,128,1,14,2,1, ,3,fp16,best-throughput,146152.9,3.02
google/bert_uncased_L-2_H-128_A-2,default,14,128,1,14,2,2, ,3,fp16,best-throughput,150041.4,4.23
google/electra-base-discriminator,question-answering,8,128,2,7,1,1, -multicast-weights,4,fp16,best-throughput,2344.2,96.73
google/electra-small-discriminator,question-answering,10,128,1,14,2,1, -multicast-weights,2,fp16,best-throughput,12075.2,24.52
google/electra-small-discriminator,default,8,128,1,14,4,, ,4,fp16,best-throughput,12318.4,37.15
hfl/chinese-bert-wwm-ext,question-answering,10,128,2,7,4,1, -multicast-weights,4,fp16,best-throughput,2203.2,128.83
hfl/chinese-bert-wwm-ext,fill-mask,6,128,4,3,,4, -multicast-weights,2,fp16,best-throughput,1014.3,37.63
hfl/chinese-electra-180g-base-discriminator,question-answering,5,128,1,14,1,, ,4,fp16,best-throughput,2446.4,115.99
hfl/chinese-electra-180g-base-discriminator,default,8,128,2,7,4,1, -multicast-weights,4,fp16,best-throughput,2531.1,89.78
hfl/chinese-roberta-wwm-ext,question-answering,10,128,2,7,1,1, -multicast-weights,2,fp16,best-throughput,2087.8,75.54
hfl/chinese-roberta-wwm-ext,fill-mask,4,128,3,4,2,3, ,3,fp16,best-throughput,992.4,57.43
kit-nlp/bert-base-japanese-sentiment-cyberbullying,question-answering,5,128,1,14,1,1, -multicast-weights,2,fp16,best-throughput,2295.6,61.66
kit-nlp/bert-base-japanese-sentiment-cyberbullying,default,5,128,1,14,4,1, -multicast-weights,2,fp16,best-throughput,2247.6,63.11
klue/bert-base,question-answering,5,128,1,14,,2, ,1,fp16,best-throughput,2326.6,30.51
klue/bert-base,fill-mask,7,128,7,2,,2, -multicast-weights,2,fp16,best-throughput,678.4,45.22
m3hrdadfi/bert-fa-base-uncased-wikinli,text-classification,10,128,2,7,1,1, -multicast-weights,3,fp16,best-throughput,2349.5,90.58
m3hrdadfi/bert-fa-base-uncased-wikinli,question-answering,5,128,1,14,,1, -multicast-weights,2,fp16,best-throughput,2301.7,61.51
Maltehb/danish-bert-botxo,question-answering,10,128,2,7,1,1, ,3,fp16,best-throughput,2488.5,85.24
Maltehb/danish-bert-botxo,fill-mask,8,128,7,2,,1, -multicast-weights,2,fp16,best-throughput,673.8,49.3
microsoft/codebert-base,question-answering,4,128,1,14,4,1, ,3,fp16,best-throughput,2352.2,73.04
microsoft/codebert-base,feature-extraction,8,128,2,7,1,1, -multicast-weights,3,fp16,best-throughput,2340.4,73.25
microsoft/deberta-v3-base,question-answering,14,128,7,2,4,1, ,3,fp16,best-throughput,1466,59.79
microsoft/deberta-v3-base,fill-mask,1,128,3,4,4,, -multicast-weights,2,fp16,best-throughput,162,57.74
microsoft/deberta-v3-small,question-answering,4,128,2,7,4,1, ,4,fp16,best-throughput,2740.1,41.87
microsoft/deberta-v3-small,fill-mask,1,128,7,2,1,7, ,4,fp16,best-throughput,160.7,58.11
monologg/bert-base-cased-goemotions-original,default,10,128,2,7,,1, -multicast-weights,3,fp16,best-throughput,2171.8,98.37
mrm8488/bert-spanish-cased-finetuned-ner,token-classification,8,128,2,7,2,1, ,2,fp16,best-throughput,2343.7,48.46
nlptown/bert-base-multilingual-uncased-sentiment,text-classification,8,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,2321.2,74.16
prajjwal1/bert-mini,question-answering,10,128,1,14,2,1, ,4,fp16,best-throughput,36120.9,16.23
prajjwal1/bert-mini,default,16,128,1,14,4,2, -multicast-weights,2,fp16,best-throughput,35880.6,13.11
prajjwal1/bert-tiny,question-answering,16,128,1,14,2,1, -multicast-weights,2,fp16,best-throughput,147519.4,3.18
prajjwal1/bert-tiny,default,16,128,1,14,2,1, -multicast-weights,3,fp16,best-throughput,142361.6,5.07
ProsusAI/finbert,text-classification,8,128,2,7,,1, ,4,fp16,best-throughput,2377.6,95.13
roberta-base,question-answering,5,128,1,14,4,1, ,2,fp16,best-throughput,2355.8,60.52
roberta-base,fill-mask,7,128,7,2,4,1, ,2,fp16,best-throughput,426.2,74.17
roberta-large,question-answering,14,128,7,2,4,1, -multicast-weights,1,fp16,best-throughput,696.2,41.09
roberta-large,fill-mask,4,128,2,7,4,1, ,4,fp16,best-throughput,382.8,306.37
roberta-large-mnli,default,6,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,688.5,184.69
Rostlab/prot_bert,question-answering,14,128,7,2,,1, ,1,fp16,best-throughput,558.8,51.1
sentence-transformers/all-distilroberta-v1,question-answering,4,128,1,14,4,1, -multicast-weights,2,fp16,best-throughput,4706.8,24.33
sentence-transformers/all-distilroberta-v1,default,10,128,2,7,,1, -multicast-weights,3,fp16,best-throughput,4627.1,46.08
sentence-transformers/all-MiniLM-L6-v2,question-answering,5,128,1,14,1,1, -multicast-weights,2,fp16,best-throughput,10290.6,13.78
sentence-transformers/all-MiniLM-L6-v2,default,4,128,1,14,2,, ,4,fp16,best-throughput,10388.6,22.08
sentence-transformers/all-mpnet-base-v2,question-answering,8,128,2,7,1,1, ,4,fp16,best-throughput,2399,94.45
sentence-transformers/all-mpnet-base-v2,default,6,128,2,7,1,1, ,4,fp16,best-throughput,2215.7,76.69
sentence-transformers/bert-base-nli-mean-tokens,question-answering,8,128,2,7,2,, -multicast-weights,2,fp16,best-throughput,2201.3,51.17
sentence-transformers/bert-base-nli-mean-tokens,default,5,128,1,14,,2, -multicast-weights,3,fp16,best-throughput,2277.1,93.96
sentence-transformers/distilbert-base-nli-stsb-mean-tokens,question-answering,5,128,1,14,,2, -multicast-weights,2,fp16,best-throughput,4727.4,29.85
sentence-transformers/distilbert-base-nli-stsb-mean-tokens,default,8,128,2,7,2,1, ,2,fp16,best-throughput,4945,22.84
sentence-transformers/msmarco-distilbert-base-tas-b,question-answering,8,128,2,7,4,1, ,2,fp16,best-throughput,4894.4,23.17
sentence-transformers/msmarco-distilbert-base-tas-b,default,10,128,2,7,1,1, ,3,fp16,best-throughput,4539.3,46.79
sentence-transformers/paraphrase-MiniLM-L6-v2,question-answering,4,128,1,14,2,, -multicast-weights,4,fp16,best-throughput,10210.1,22.86
sentence-transformers/paraphrase-MiniLM-L6-v2,default,4,128,1,14,2,, -multicast-weights,3,fp16,best-throughput,10353.4,16.64
sentence-transformers/paraphrase-mpnet-base-v2,question-answering,5,128,1,14,1,, -multicast-weights,3,fp16,best-throughput,2286.7,92.83
sentence-transformers/paraphrase-mpnet-base-v2,default,8,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,2255.6,75.67
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,question-answering,5,128,1,14,2,1, ,2,fp16,best-throughput,5330.6,26.95
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,default,4,128,1,14,2,1, -multicast-weights,3,fp16,best-throughput,5255.2,32.3
sentence-transformers/paraphrase-xlm-r-multilingual-v1,question-answering,8,128,2,7,4,1, -multicast-weights,3,fp16,best-throughput,2403.9,70.96
sentence-transformers/paraphrase-xlm-r-multilingual-v1,default,5,128,1,14,,1, -multicast-weights,1,fp16,best-throughput,2395,29.72
tals/albert-xlarge-vitaminc-mnli,default,4,128,4,3,2,, -multicast-weights,2,fp16,best-throughput,107.2,240.06
