MODEL_NAME,TASK,BATCH_SIZE,IMAGE_SIZE,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY,FLOPS
resnet-50,image-classification,1,224,14,1,1,"1,7"," -sdp-cluster-sizes=7,7 -multicast-weights -use-producer-dma=1",3,fp16,best-latency,,,
resnet-50,image-classification,2,224,12,1,2,"1,6"," -sdp-cluster-sizes=6,6 -multicast-weights -use-producer-dma=1",3,fp16,balanced,,,
resnet-50,image-classification,14,224,14,1,1,"1,1"," -sdp-cluster-sizes=7,7 -multicast-weights  -use-producer-dma=1",3,fp16,best-throughput,,,
resnet-152,image-classification,1,224,12,1,1,"6,6"," -sdp-cluster-sizes=6,6 -multicast-weights  -use-producer-dma=1 ",2,fp16,best-latency,,,
resnet-152,image-classification,4,224,12,1,2,"4,4"," -sdp-cluster-sizes=6,6 -multicast-weights  -use-producer-dma=1 ",2,fp16,balanced,,,
resnet-152,image-classification,14,224,14,1,2,"1,1"," -sdp-cluster-sizes=7,7 -multicast-weights  -use-producer-dma=1 ",4,fp16,best-throughput,,,
vit-base-patch16-224,image-classification,1,224,12,1,1,12, -multicast-weights,2,fp16,best-latency,,,
vit-base-patch16-224,image-classification,2,224,6,2,1,6, -multicast-weights,2,fp16,balanced,,,
vit-base-patch16-224,image-classification,4,224,4,3,2,1, -multicast-weights,4,fp16,best-throughput,,,
,,,,,,,,,,,,,,
alexnet,image-classification,15,224,2,7,1,2, -aic-enable-depth-first,3,fp16,best-throughput,11086.612,32.7828997,15.83626984
densenet121,image-classification,10,224,1,14,4,, -multicast-weights -aic-enable-depth-first,5,fp16,best-throughput,8671.592,38.572738,50.24332725
densenet161,image-classification,15,224,1,14,1,1, -multicast-weights -aic-enable-depth-first,6,fp16,best-throughput,2673.388,96.2001365,41.94995466
densenet169,image-classification,15,224,1,14,4,1, -aic-enable-depth-first,3,fp16,best-throughput,5967.089,49.2682835,41.00723334
densenet201,image-classification,9,224,1,14,2,1, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,3636.949,41.117627,31.9351905
efficientnet_b0,image-classification,3,224,1,14,2,1, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,7257.985,11.6267992,6.026232714
efficientnet_b1,image-classification,2,240,1,14,1,1, -multicast-weights -aic-enable-depth-first,3,fp16,best-throughput,4086.918,20.8586622,6.00356497
efficientnet_b2,image-classification,1,260,1,14,1,, -aic-enable-depth-first,2,fp16,best-throughput,2607.622,11.4848816,5.498057086
efficientnet_b3,image-classification,12,300,2,7,4,1, -multicast-weights -aic-enable-depth-first,4,fp16,best-throughput,965.477,366.5256544,3.729724158
efficientnet_b4,image-classification,1,380,2,7,2,2, ,3,fp16,best-throughput,623.599,32.3078053,5.751382287
efficientnet_b5,image-classification,1,456,3,4,2,, ,2,fp16,best-throughput,250.032,3.183355,5.352057584
efficientnet_b6,image-classification,1,528,7,2,2,7, -multicast-weights -use-producer-dma=1,3,fp16,best-throughput,104.269,57.70001105,4.130469319
efficientnet_b7,image-classification,1,600,7,2,2,7,,2,fp16,best-throughput,58.335,68.8706878,4.553541539
efficientnet_v2_l,image-classification,2,480,2,7,1,1, -multicast-weights,4,fp16,best-throughput,238.706,3.12399,27.09761586
efficientnet_v2_m,image-classification,1,480,1,14,4,1, -multicast-weights,4,fp16,best-throughput,505.279,5.4262809,25.23287119
efficientnet_v2_s,image-classification,1,384,1,14,1,, -multicast-weights,4,fp16,best-throughput,1668.668,3.891984,28.4290336
inception_v3,image-classification,4,299,2,7,2,1, ,4,fp16,best-throughput,3359.828,5.4139998,38.63277508
mnasnet0_5,image-classification,25,224,14,1,1,1, -multicast-weights,4,fp16,best-throughput,21548.458,4.7587532,5.030174119
mnasnet0_75,image-classification,2,224,1,14,2,1, -multicast-weights,5,fp16,best-throughput,19306.35,22.4027991,9.056752115
mnasnet1_0,image-classification,27,224,14,1,2,, -multicast-weights,6,fp16,best-throughput,21363.244,7.64395385,14.36645824
mnasnet1_3,image-classification,14,224,7,2,4,, ,5,fp16,best-throughput,17253.946,14.616928,19.17851463
mobilenet_v2,image-classification,14,224,2,7,1,2, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,19377.384,11.1413692,12.69167186
mobilenet_v3_large,image-classification,5,224,1,14,1,, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,18221.095,7.8104648,8.558027633
mobilenet_v3_small,image-classification,5,224,1,14,4,1, -multicast-weights,3,fp16,best-throughput,19298.167,7.166276,2.411419594
resnet101,image-classification,14,224,7,2,2,1, -multicast-weights -use-producer-dma=1,4,fp16,best-throughput,4663.664,25.2744988,73.37282488
resnet152,image-classification,14,224,1,14,4,, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,2760.369,537.1923086,64.06234272
resnet18,image-classification,10,224,2,7,4,1, -multicast-weights -use-producer-dma=1,5,fp16,best-throughput,19244.333,18.7959197,70.20462739
resnet34,image-classification,8,224,1,14,4,1, -multicast-weights,5,fp16,best-throughput,11156.073,50.6149687,82.08057184
resnet50,image-classification,14,224,7,2,1,1, -multicast-weights,6,fp16,best-throughput,7721.331,21.7330191,63.83598964
resnext101_32x8d,image-classification,15,224,1,14,2,, -multicast-weights -aic-enable-depth-first,4,fp16,best-throughput,1646.805,153.457548,54.47287013
resnext101_64x4d,image-classification,14,224,2,7,4,, -aic-enable-depth-first,3,fp16,best-throughput,1660.543,185.930411,51.75982396
resnext50_32x4d,image-classification,14,224,7,2,2,1, ,3,fp16,best-throughput,7064.419,11.9785681,60.58706157
shufflenet_v2_x0_5,image-classification,32,224,12,1,1,1, -multicast-weights -aic-enable-depth-first,5,fp16,best-throughput,21532.259,7.5256928,1.919474452
shufflenet_v2_x1_0,image-classification,4,224,1,14,1,, -multicast-weights,2,fp16,best-throughput,19299.557,5.5484414,5.894424071
shufflenet_v2_x1_5,image-classification,16,224,2,7,4,1, ,2,fp16,best-throughput,16625.708,35.5125242,10.20251441
shufflenet_v2_x2_0,image-classification,6,224,1,14,4,1, ,5,fp16,best-throughput,11946.845,111.499263,14.2939086
squeezenet1_0,image-classification,31,224,14,1,4,1, ,5,fp16,best-throughput,20232.506,7.7903455,33.14467185
squeezenet1_1,image-classification,28,224,14,1,1,, -multicast-weights -use-producer-dma=1,4,fp16,best-throughput,21557.031,5.3000721,15.06068761
vgg11,image-classification,15,224,1,14,2,1, -multicast-weights -aic-enable-depth-first,6,fp16,best-throughput,4372.342,281.7106352,66.53952677
vgg11_bn,image-classification,15,224,1,14,4,1, -aic-enable-depth-first,4,fp16,best-throughput,4414.533,48.8619376,67.44386151
vgg13,image-classification,15,224,1,14,4,1, -multicast-weights -aic-enable-depth-first,4,fp16,best-throughput,3486.292,48.6763054,78.84958018
vgg13_bn,image-classification,15,224,1,14,4,1, -multicast-weights -aic-enable-depth-first,2,fp16,best-throughput,3517.295,48.67307735,79.89527241
vgg16,image-classification,15,224,1,14,1,1, -aic-enable-depth-first,2,fp16,best-throughput,2721.235,96.12709055,84.19672254
